ZIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,white,black,ai_an,asian,native_hi,other_pac,X2_or_more,hispanic,median_income
48001,9.410901594,8.222368263,5.131117779,10.61994435,10.56008859,5.374023069,9.591181812,10.17040913,9.114666227,9.687477482,9.067039363,0.972742336,0.00091135,0.006545153,0.00091135,8.29E-05,0.00074565,0.009279205,0.008782104,52041
48002,3.912522283,3.075253729,8.088060365,16.99978332,9.347314703,6.171716804,10.52523324,4.200148889,8.442716438,3.029433546,4.843031903,0.955952381,0.004166667,0.001190476,0.00327381,0,0.006547619,0.006547619,0.022321429,56502
48003,10.66849896,9.702543493,7.486547232,4.032313064,5.384899736,3.266792982,13.13669081,8.152120346,9.86150575,7.206522455,5.131079951,0.920360988,0.001424953,0.002849905,0.000474984,0,0.028024066,0.005541482,0.041323623,60056
48005,2.924748169,6.136961071,6.507824261,3.65792084,7.594508459,2.344808552,5.994359026,5.95421781,6.801826585,4.449991801,5.569729838,0.969843634,0.001303053,0.002606106,0.001489203,0.00018615,0.004095309,0.004839911,0.015636634,70451
48006,15.95218425,6.965019691,9.298339406,8.41230292,7.966701098,7.84006581,6.887349014,4.65597719,11.98425293,5.404306089,1.619192164,0.973742878,0.002972504,0.005945009,0,0,0.002724796,0.0056973,0.008917513,58712
48009,3.767996867,6.016075471,7.085416929,7.361790983,7.872173328,5.48227101,7.518913418,7.238665654,6.591542786,6.654045243,8.04395707,0.915835777,0.029569892,0.001857283,0.023020528,4.89E-05,0.002052786,0.010312805,0.017302053,112772
48014,8.936030733,10.96666255,4.230450705,7.191650352,10.87608452,6.502855616,5.294376034,13.65682305,14.97201945,5.48294516,3.910686231,0.840400597,0.002130833,0.005540166,0.00191775,0,0.044108246,0.012784999,0.093117409,48900
48015,20.37326301,26.44938826,22.27667164,18.99185679,25.57549678,24.65917636,26.45870195,25.87823034,21.69289645,20.6137065,27.90450757,0.827909811,0.113711152,0.003900061,0.023278489,0.000487508,0.001462523,0.01377209,0.015478367,33760
48017,8.932564879,11.30924632,7.183189733,10.20340779,7.420298289,7.711638102,8.015422194,7.340677518,9.000715866,9.178415053,7.837416756,0.932572004,0.018641364,0.001763372,0.016961962,0.00025191,0.003022924,0.00806113,0.018725334,55763
48021,13.15679815,16.61422579,12.27959632,15.40508807,13.8020298,14.09436948,18.96679865,16.93358593,15.17382901,15.31706823,15.25693234,0.660360717,0.28948569,0.003376015,0.009671827,0,0.00340643,0.017062563,0.016636759,45614
48022,2.739985154,5.797841786,7.7949711,6.426402524,6.78786217,14.95890479,6.467266428,2.707046383,7.749401658,5.237758892,1.208704069,0.95584989,0.004415011,0.001839588,0.002575423,0.000735835,0.008462104,0.002575423,0.023546726,56818
48023,12.97264218,7.241162939,6.619099131,7.138215547,9.019639591,9.52111151,6.001605118,8.387484125,17.30493795,8.014220491,4.268635998,0.946452223,0.009839167,0.003405866,0.001324503,0,0.008893094,0.009839167,0.020245979,48901
48025,2.175838775,4.204428103,5.112805329,5.063473596,5.133279227,4.992538053,5.406761858,6.905063364,4.976945335,4.545998907,3.717890277,0.884134254,0.063640714,0.001093718,0.02522387,0.000410144,0.003144439,0.009775104,0.012577757,121230
48026,10.44922096,13.10586367,18.31858119,17.53296615,16.36984093,11.68949142,18.36345215,16.93875024,12.79054184,13.02027535,11.58295425,0.917790403,0.036005202,0.005133822,0.014100897,0,0.001779725,0.009856938,0.015333014,54461
48027,15.17268181,8.459692059,13.58246239,9.914164758,15.52216393,3.14210197,1.461654509,0.420895814,17.16032955,14.44923869,10.62020966,0.959877489,0.023277182,0.003062787,0.000306279,0,0,0.006125574,0.007350689,62664
48028,4.706246891,8.682018824,0,8.482898824,0,0,8.720130504,3.158026723,2.726093697,3.018007479,2.117410672,0.994127517,0.000838926,0.000838926,0.001677852,0,0,0.000838926,0.001677852,56477
48030,14.07264399,13.85564883,14.5916272,17.43619868,14.72344932,20.03351626,22.61762553,18.35559129,14.20938915,17.73616553,15.0027032,0.827886971,0.094270864,0.00902085,0.013680626,0.000358444,0.003106518,0.032080769,0.019594958,34955
48032,5.125413178,4.852533376,4.33210857,9.460777003,3.092968088,8.318871232,4.202745392,8.963705512,2.906849354,6.017933979,7.278870801,0.968321918,0.001712329,0.001712329,0.002568493,0,0.005993151,0.008561644,0.011130137,57652
48033,7.999420736,6.746708441,6.438051699,5.92413524,7.044010763,6.929852577,8.274505167,7.427443159,6.06501217,8.862563091,6.373709823,0.25701689,0.696535022,0.003042722,0.008879781,0.000496771,0.003477397,0.019125683,0.011425733,48679
48034,13.92889563,7.066956751,9.247157808,14.43071176,10.61639748,12.29172829,10.18218977,12.49713771,8.469321914,13.0220817,7.599314122,0.207172565,0.732088205,0.003845248,0.023542337,0.000156949,0.00510084,0.015694891,0.012398964,46161
48035,11.90501805,12.03962937,10.11324895,13.29344448,10.56852218,11.46632447,15.20933863,14.08618591,13.11268424,14.15717115,10.40102561,0.759501188,0.178712815,0.003308449,0.018606492,0.000395883,0.004750594,0.01405384,0.020670739,45996
48036,14.26150253,15.01995427,12.39577829,21.54118561,24.18237338,22.65560113,19.80220409,22.39536408,25.42462829,26.73956729,16.38605403,0.806896879,0.141305379,0.002751162,0.011052082,0.000284603,0.005786927,0.014514752,0.017408216,49516
48038,10.47866362,10.99080563,12.90927499,10.03632167,9.878374993,13.49439489,13.97419034,13.14300917,13.82137461,13.14989311,11.32936799,0.864750371,0.078526638,0.002034369,0.017423771,0.000119669,0.005385094,0.011153128,0.02060696,56119
48039,13.89130965,15.46052795,16.22242626,11.45124819,11.53737696,6.715683528,6.740141424,14.05518996,12.04787698,12.61078673,4.505298706,0.973082783,0.00253936,0.00507872,0.00126968,0,0.002031488,0.007110208,0.00888776,47010
48040,7.276264273,10.76723911,15.47927612,14.13449359,7.694827401,8.291510928,6.313767166,10.66639444,10.49820996,9.70416142,5.304099166,0.966009315,0.003369339,0.002873848,0.005153107,0,0.004360321,0.004459419,0.013774651,57397
48041,3.664809603,4.406619886,7.565672616,7.142203091,2.948074523,6.499757159,10.9438458,9.484147577,6.624124775,11.41177358,6.70144021,0.955087872,0.003688436,0.002603602,0.002169668,0,0.008027772,0.009112606,0.019310046,63905
48042,4.658069451,5.110628731,3.923432831,3.619691495,5.511839911,4.811343029,6.547267502,5.877550573,7.078342164,6.725287871,5.38794935,0.930111417,0.022645059,0.001772537,0.02119809,7.23E-05,0.002242801,0.008175373,0.013782376,83446
48043,29.67315687,32.11318984,23.42832361,27.24021883,25.21138976,28.78241996,27.82547036,25.00446753,25.13614714,31.53235246,27.59208329,0.704343796,0.234803337,0.004304066,0.003509469,0.000264866,0.006290558,0.021255463,0.025228447,33994
48044,6.321738438,5.04537353,4.82738536,5.83777492,6.715277376,6.547796751,7.241609136,7.224683211,8.479647151,8.416770411,6.61227618,0.875224551,0.048072605,0.002432635,0.033663922,0.000355539,0.007335329,0.011377246,0.021538174,76191
48045,8.384232539,9.619829113,11.73977692,13.12404097,11.55341492,11.85522462,14.76055891,14.51319383,16.66240762,11.12201202,11.33464793,0.877524196,0.073246505,0.004620225,0.00505835,0.000358466,0.006133748,0.011550564,0.021507946,54660
48047,8.445580185,10.52565119,8.438209309,7.696863988,8.299630737,8.305133842,10.36116626,10.64135013,9.336010029,9.494258074,7.548863407,0.923690748,0.037815864,0.003487993,0.007703696,0.000476776,0.003688741,0.008406314,0.014729869,70975
48048,14.04877587,7.983783943,9.51846048,6.608117753,7.882421343,11.2316536,7.371123741,14.62764849,12.58372083,13.95472809,11.86604058,0.808806489,0.116389855,0.007467491,0.004377495,0.00038625,0.008626239,0.019054976,0.034891206,59900
48049,7.01399081,7.990092565,9.030781064,8.518443945,14.6820328,5.954049946,8.443200663,9.871350717,10.37821243,11.89026052,8.858098352,0.965033724,0.00514732,0.00372737,0.000532481,0,0.003194888,0.008874689,0.013489528,57343
48050,2.081615064,6.335903388,6.255780157,2.20527931,0,2.12575245,1.968686933,1.968686933,7.901588082,5.810628615,8.207368784,0.977011494,0.007864489,0.005444646,0.001209921,0,0,0.001814882,0.006654567,60923
48051,10.99882754,11.92485445,7.454725261,8.644347249,7.017215521,8.464910555,7.036817663,8.565350297,9.071306346,10.43712012,9.329398401,0.877958265,0.06497536,0.003406948,0.008030663,0.000973414,0.009490783,0.010464197,0.024700371,69484
48054,7.709111023,8.653175174,5.147214103,7.906817264,4.565827851,5.264136217,6.473525276,9.125520725,7.765355375,11.15408101,6.279043221,0.977405046,0.000693097,0.0042972,0.002356529,0,0.001802052,0.007069587,0.00637649,56626
48059,9.085005164,12.51192392,9.600301197,15.59904978,10.05772645,11.58501254,12.6519831,11.69047524,16.95096309,12.1454448,9.562401587,0.940080068,0.011419571,0.003084597,0.009516309,0.000393778,0.004987859,0.008334974,0.022182844,53832
48060,29.5414138,26.07234559,26.70011155,35.18804769,30.36619268,29.31177865,27.68669755,30.93826833,35.34837376,34.7953177,29.18392991,0.847205361,0.072791725,0.006239984,0.004370417,0.000145681,0.011217404,0.018987034,0.039042393,36987
48062,10.49601242,7.002308866,5.748564323,6.869385373,8.107526907,6.453258733,10.88482504,13.10532415,8.496234333,8.487328337,9.624769177,0.928981501,0.005315756,0.002764193,0.001169466,0.001275781,0.019030406,0.008186264,0.033276632,58233
48063,9.965039312,10.4690688,6.844126167,10.17926393,4.264790369,6.399769509,6.580564447,4.238870221,7.466370835,5.878540639,3.293148796,0.962296278,0.001216249,0.008027244,0.002432498,0.0004865,0.005108246,0.006324495,0.014108489,62685
48064,7.709506233,9.510370173,4.992486219,3.833067519,6.778306282,4.351040954,6.814475578,11.29202917,11.28618761,8.319823423,4.6586402,0.948148148,0.00167264,0.00692951,0.003584229,0.001194743,0.009796894,0.010035842,0.018637993,55327
48065,12.66632764,11.15631335,8.232662719,7.906261544,5.930872457,7.320702569,7.102052735,9.086415919,6.808587722,7.180420157,5.616187437,0.921391753,0.01794919,0.002393225,0.003313697,0,0.009204713,0.008376289,0.037371134,44802
48066,16.72455161,18.00920495,17.54254312,21.08950317,21.76652315,18.00569576,23.09120637,25.31027916,20.0061714,22.02369377,18.5671616,0.831631481,0.115036856,0.004051035,0.014867715,0.000167053,0.00296519,0.01570298,0.01557769,43247
48067,9.489497248,9.286785113,7.196495895,9.747973362,10.12808215,9.598606525,9.057024086,8.954579618,4.326814412,5.862970922,7.26068495,0.920341107,0.025987148,0.002182435,0.018267793,0.00044457,0.003071576,0.011073839,0.018631532,63015
48069,2.8019365,4.645651306,1.282052494,1.082731987,0,2.603396595,2.380657245,5.95424521,4.2399846,12.65307985,4.133428781,0.949391918,0.018046293,0.001569243,0.006669282,0,0.001569243,0.013730875,0.009023146,106250
48070,3.10373756,7.414788522,6.113117522,6.458989901,5.917131901,5.185505002,5.547393459,5.235871193,4.993470728,6.504034995,8.923877637,0.964189082,0.00891294,0.000318319,0.009231259,0,0.002069075,0.007003024,0.008276301,106117
