ZipcodeZones,Sp_diversity_2008,Sp_Richness_2008,completed_lists_2008,Sp_diversity_2009,Sp_Richness_2009,completed_lists_2009,Sp_diversity_2010,Sp_Richness_2010,completed_lists_2010,Sp_diversity_2011,Sp_Richness_2011,completed_lists_2011,Sp_diversity_2012,Sp_Richness_2012,completed_lists_2012,Sp_diversity_2013,Sp_Richness_2013,completed_lists_2013,Sp_diversity_2014,Sp_Richness_2014,completed_lists_2014,Sp_diversity_2015,Sp_Richness_2015,completed_lists_2015,Sp_diversity_2016,Sp_Richness_2016,completed_lists_2016,Sp_diversity_2017,Sp_Richness_2017,completed_lists_2017,Sp_diversity_2018,Sp_Richness_2018,completed_lists_2018,Area
49406,2.557302509,31,45,3.026974646,67,184,2.34324405,76,290,2.598205046,84,244,3.125265432,82,254,2.27215149,87,320,3.128340999,68,171,3.322002827,56,163,2.239595746,55,184,2.353336332,49,194,2.44389089,60,279,5406233.946
48072,0,1,1,1.295640686,16,6,1.30203533,7,8,2.971107696,34,12,2.73705532,26,36,2.263451627,16,43,2.623051277,19,26,2.440271082,17,21,2.76486813,20,67,2.789298927,21,85,2.722057424,18,278,6220203.351
48128,4.299371266,101,147,4.158865581,100,151,4.127186189,91,150,4.041268647,95,131,4.122896723,92,104,4.074829643,80,145,3.915936516,67,236,3.466567431,39,493,3.613879689,47,610,3.762765395,53,641,3.617887299,45,575,6257678.3
48034,2.846876592,43,26,3.357301886,54,70,3.001235093,44,41,3.166951196,52,48,3.117988393,51,52,3.129631993,54,72,3.119426294,48,90,3.115373171,51,116,3.231509468,52,107,3.546359527,56,149,3.304624912,50,117,11188513.89
48220,0,1,1,2.454937262,31,13,2.108820493,15,9,2.403597276,21,34,2.344708064,21,30,2.573601495,19,57,2.249616564,13,24,2.91577791,22,14,2.665687661,18,66,2.822446076,25,19,2.625489153,18,75,11479182.61
48223,3.490434255,67,99,4.209085769,68,81,3.671754994,69,96,3.451945035,65,115,2.886961635,73,95,3.933417794,67,106,4.055406356,67,93,4.280067218,74,85,3.842052207,74,102,4.065205966,76,128,3.946425769,75,149,15679769.56
48207,2.747424212,61,12,3.182628951,63,10,3.291916771,96,55,3.018520154,76,159,3.579363066,93,142,3.602940041,95,141,3.391787489,78,69,3.290094191,82,98,3.523974904,89,200,3.376541814,87,298,3.032302354,80,331,16582929.05
49008,4.307540863,103,64,4.319530919,99,65,4.160920773,87,66,4.186071652,100,64,4.16606351,91,69,4.328712952,102,112,4.427340781,100,195,4.354873793,95,144,4.323151054,95,170,4.356296201,96,239,4.362510764,95,278,17481496.62
48335,3.318893152,44,12,3.959435311,72,58,3.927075521,66,133,3.82368114,61,122,3.859059042,67,103,4.005686021,76,122,3.95182598,69,217,4.016073627,70,306,4.031198879,74,315,3.992652854,70,407,3.966539843,67,462,19528665.08
49506,3.769446079,80,72,3.823561437,77,70,3.4777606,85,146,3.62578802,60,247,3.230519009,63,176,3.738959695,68,218,3.716953745,76,313,3.710871631,67,363,3.400916072,65,399,3.618456371,67,503,3.597388758,55,739,20275554.78
48104,3.445538297,71,96,3.982283722,75,92,2.567357104,65,132,4.09393018,84,223,3.970334512,78,344,4.232584239,90,695,4.152175466,85,935,4.286409535,91,959,4.197041506,85,985,4.245349144,90,1000,4.226173645,89,1102,20780871.65
48025,2.806944701,22,127,1.022526045,3,8,3.501010773,51,15,2.946241966,34,11,2.654704513,19,361,2.543896396,18,467,2.914045459,21,418,2.953773722,25,536,2.916555362,24,500,2.232243875,12,250,1.583032998,17,53,20835408.41
48033,2.951687141,20,254,2.927591702,24,334,2.926199956,21,325,2.846927693,28,43,3.333558149,48,22,3.426836301,47,27,3.608570193,55,38,3.201994318,42,24,3.674739944,48,49,3.376883498,45,25,1.787769166,18,195,23230489.3
48336,3.173906936,38,118,3.34783822,37,142,3.023736913,32,182,3.238113902,42,217,3.100876474,41,201,3.289474779,41,267,3.364458133,41,493,3.13859942,39,584,2.978865592,40,612,2.234418201,38,539,2.963918715,39,612,23545195.34
49505,3.993801363,87,19,2.797865976,55,17,3.141289811,60,90,3.281661743,57,252,3.236939938,57,68,3.663314978,72,92,3.622190739,69,97,3.296806743,55,83,3.225464408,44,268,3.605915366,55,469,3.604350571,50,611,23630583.66
48331,2.842464645,38,17,2.971244106,54,33,3.315269957,44,96,3.17192854,40,205,3.374646825,41,175,3.527610743,50,125,3.685515929,52,185,3.683142978,53,213,3.497731182,44,193,3.624266387,48,184,3.633413345,51,173,24086378.17
49629,0,1,1,2.728615676,32,26,3.340779645,41,26,3.345985447,58,38,3.220995774,48,62,3.347527805,46,52,3.350872219,52,57,3.034208876,47,45,3.307011738,46,44,3.210451684,49,69,3.176275984,38,61,24086853.46
48377,3.033463905,35,31,3.394747757,52,61,3.209261681,54,65,2.271583559,54,31,2.862307262,54,69,3.253649001,60,71,2.747309703,62,97,2.703480629,54,103,2.924289337,49,212,2.90488738,62,192,3.211303091,60,196,27178642.15
